"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href"
",  2nd match","2016-01-08 01:00","NORCECA Olimpiyat Kalifikasyonu 2016","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2016-o9595/matches","Pinnacle Bank Arena, Lincoln","https://women.volleybox.net/tr/pinnacle-bank-arena-a1426/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","3 : 1","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/dominican-republic-canada-c17501","5 yıl önce önce  tarafından eklendi","B…2",""
",  3rd match","2016-01-09 01:00","NORCECA Olimpiyat Kalifikasyonu 2016","https://women.volleybox.net/tr/women-norceca-olympic-qualification-2016-o9595/matches","Pinnacle Bank Arena, Lincoln","https://women.volleybox.net/tr/pinnacle-bank-arena-a1426/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/upload/teams/nt_flag_United_States.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/usa-dominican-republic-c17497","5 yıl önce önce  tarafından eklendi","B…2",""
",  Round Robin","2016-05-14 06:55","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","3 : 1","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/upload/teams/nt_flag_Dominican_Republic.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/thailand-dominican-republic-c176620","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-15 06:55","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/peru-dominican-republic-c176624","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-17 06:55","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/dominican-republic-italy-c176628","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-18 09:40","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/netherlands-dominican-republic-c176633","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-20 13:15","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/dominican-republic-japan-c176642","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-21 06:55","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/kazakhstan-dominican-republic-c176644","2 yıl önce önce  tarafından eklendi","J…e",""
",  Round Robin","2016-05-22 04:10","Dünya Olimpiyat Elemeleri 2016","https://women.volleybox.net/tr/women-world-olympic-qualification-2016-o30236/matches","Tokyo Metropolitan Gymnasium, Tokyo","https://women.volleybox.net/tr/tokyo-metropolitan-gymnasium-a282/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/dominican-republic-south-korea-c176635","2 yıl önce önce  tarafından eklendi","J…e",""
",  Group A2","2016-06-04 00:10","World Grand Prix 2016","https://women.volleybox.net/tr/women-world-grand-prix-2016-o3268/matches","Club Sportivo Floresta, Tucumán","https://women.volleybox.net/tr/club-sportivo-floresta-a665/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/dominican-republic-bulgaria-c3281","9 yıl önce önce  tarafından eklendi","przemek16","https://women.volleybox.net/tr/user/przemek16"
