"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","rank_newbie","rank_newbie href"
",  Group O","2015-06-28 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Gimnasio Nuevo León, Monterry","https://women.volleybox.net/tr/gimnasio-nuevo-leon-a3248/matches","Kolombiya","https://women.volleybox.net/tr/colombia-t763/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/colombia-kenya-c63156","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-011.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group Q","2015-07-03 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Salle Omnisports de Cheraga, Cheraga","https://women.volleybox.net/tr/salle-omnisports-de-cheraga-a3249/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/mexico-kenya-c63164","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-019.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group Q","2015-07-04 13:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Salle Omnisports de Cheraga, Cheraga","https://women.volleybox.net/tr/salle-omnisports-de-cheraga-a3249/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/kenya-australia-c63166","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-021.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group Q","2015-07-05 18:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Salle Omnisports de Cheraga, Cheraga","https://women.volleybox.net/tr/salle-omnisports-de-cheraga-a3249/matches","Cezayir","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/algeria-kenya-c63169","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-024.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Semi-Final (Group 3)","2015-07-11 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Avustralya","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/australia-kenya-c63149","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-026.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Final (Group 3)","2015-07-12 12:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","AIS Arena, Canberra","https://women.volleybox.net/tr/ais-arena-a776/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/peru-kenya-c63150","4 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015c/WGP2015c_p2-028.pdf","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  1st round - Group A","2015-08-22 10:40","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/cuba-kenya-c32392","5 yıl önce önce  tarafından eklendi","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  1st round - Group A","2015-08-23 08:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/dominican-republic-kenya-c32394","5 yıl önce önce  tarafından eklendi","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  1st round - Group A","2015-08-24 11:10","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/russia-kenya-c691","9 yıl önce önce  tarafından eklendi","","","","","",""
",  1st round - Group A","2015-08-26 14:20","Dünya Kupası 2015","https://women.volleybox.net/tr/women-fivb-world-cup-2015-o1007/matches","Yoyogi National Gymnasium, Shibuya Tokyo","https://women.volleybox.net/tr/yoyogi-national-gymnasium-a283/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/japan-kenya-c32404","5 yıl önce önce  tarafından eklendi","","","","","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
