"info","info 2","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href"
",  Group Q","2014-07-26 11:30","Gimnasio Olímpico Juan de la Barrera, Mexico City","https://women.volleybox.net/tr/gimnasio-olimpico-juan-de-la-barrera-a2962/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 2","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/bulgaria-kenya-c63292"
",  Group Q","2014-07-27 10:00","Gimnasio Olímpico Juan de la Barrera, Mexico City","https://women.volleybox.net/tr/gimnasio-olimpico-juan-de-la-barrera-a2962/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/upload/teams/nt_flag_Algeria.png","Cezayir","https://women.volleybox.net/tr/kenya-algeria-c63294"
",  Group S","2014-08-01 16:15","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Hırvatistan","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/upload/teams/nt_flag_Croatia.png","3 : 0","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/croatia-kenya-c63303"
",  Group S","2014-08-02 13:15","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","Kenya","https://women.volleybox.net/tr/bulgaria-kenya-c63304"
",  Group S","2014-08-03 13:15","Žatika Sport Centre, Poreč","https://women.volleybox.net/tr/zatika-sport-centre-a3246/matches","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/australia-t676/matches","https://volleybox.net/media/img/light-px.png","Avustralya","https://women.volleybox.net/tr/kenya-australia-c63306"
