"info","info 2","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_movies"
",  Group B2","2016-06-04 21:10","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/upload/teams/nt_flag_Poland.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/poland-czech-republic-c3302","1"
",  Group B2","2016-06-05 18:10","Centrum Rekreacyjno-Sportowe, Zielona Góra","https://women.volleybox.net/tr/centrum-rekreacyjno-sportowe-a351/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/czech-republic-canada-c3303",""
",  Group C2","2016-06-10 19:00","Sportovní hala UP, Olomouc","https://women.volleybox.net/tr/sportovni-hala-up-a1412/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/upload/teams/nt_flag_Czech_Republic.png","3 : 0","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/czech-republic-canada-c3318",""
",  Group C2","2016-06-11 19:10","Sportovní hala UP, Olomouc","https://women.volleybox.net/tr/sportovni-hala-up-a1412/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","Çek Cumhuriyeti","https://women.volleybox.net/tr/bulgaria-czech-republic-c3320",""
",  Group C2","2016-06-12 19:10","Sportovní hala UP, Olomouc","https://women.volleybox.net/tr/sportovni-hala-up-a1412/matches","Çek Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-t793/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/czech-republic-dominican-republic-c3322",""
