"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","rank_user href","show_movies","show_movies href","show_movies 2"
",  Group B","2015-06-13 21:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/netherlands-russia-c357","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-15 10:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Bulgaristan","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/upload/teams/nt_flag_Bulgaria.png","3 : 0","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/upload/teams/nt_flag_Russian_Federation.png","Rusya","https://women.volleybox.net/tr/bulgaria-russia-c373","10 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-17 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/russia-croatia-c395","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-19 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c409","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-06-21 23:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","Sırbistan","https://women.volleybox.net/tr/russia-serbia-c433","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  quarterfinal","2015-06-23 17:00","Avrupa Oyunları 2015","https://women.volleybox.net/tr/women-european-games-2015-o928/matches","Baku Crystal Hall, Baku","https://women.volleybox.net/tr/baku-crystal-hall-a500/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/turkey-russia-c452","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","","",""
",  Group B","2015-07-03 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/germany-russia-c493","9 yıl önce önce  tarafından eklendi","sait864","https://women.volleybox.net/tr/user/sait864","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-007.pdf",""
",  Group B","2015-07-04 12:00","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/dominican-republic-russia-c31338","5 yıl önce önce  tarafından eklendi","","","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-009.pdf",""
",  Group B","2015-07-05 15:30","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Ningbo Beilun Gymnasium Hall, Ningbo","https://women.volleybox.net/tr/ningbo-beilun-gymnasium-hall-a110/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/china-russia-c519","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-012.pdf",""
",  Group F","2015-07-10 15:10","World Grand Prix 2015","https://women.volleybox.net/tr/women-world-grand-prix-2015-o953/matches","Amberarena, Kaliningrad","https://women.volleybox.net/tr/amberarena-a1380/matches","Rusya","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/russia-usa-c530","9 yıl önce önce  tarafından eklendi","soidensir3","https://women.volleybox.net/tr/user/soidensir3","1","http://www.fivb.org/vis_web/volley/WGP2015a/WGP2015a_p2-032.pdf","1"
