"info","info 2","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href"
",  Group B","2017-10-08 06:00","Senegal","https://women.volleybox.net/tr/senegal-t1156/matches","https://volleybox.net/media/upload/teams/nt_flag_Senegal.png","0 : 3","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","Kenya","https://women.volleybox.net/tr/senegal-kenya-c187480"
",  Group B","2017-10-09 06:00","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/congo-the-democratic-republic-of-the-t772/matches","https://volleybox.net/media/upload/teams/nt_flag_Congo_The_Democratic_Republic_of_the.png","Kongo Demokratik Cumhuriyeti","https://women.volleybox.net/tr/kenya-congo-the-democratic-republic-of-the-c187481"
",  Group B","2017-10-10 06:00","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/upload/teams/nt_flag_Kenya.png","3 : 0","https://women.volleybox.net/tr/tunisia-t1228/matches","https://volleybox.net/media/upload/teams/nt_flag_Tunisia.png","Tunus","https://women.volleybox.net/tr/kenya-tunisia-c187484"
",  semi-final","2017-10-12 06:00","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/egypt-t811/matches","https://volleybox.net/media/img/light-px.png","Mısır","https://women.volleybox.net/tr/kenya-egypt-c187492"
",  final","2017-10-13 06:00","Kenya","https://women.volleybox.net/tr/kenya-t937/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cameroon-t739/matches","https://volleybox.net/media/img/light-px.png","Kamerun","https://women.volleybox.net/tr/kenya-cameroon-c187494"
