"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","show_predictions","show_movies","show_movies href","show_movies 2","rank_user","rank_user href","show_movies 3","rank_editor","rank_editor href"
",  3rd round - Group B","2022-06-30 16:30","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","Çin","https://women.volleybox.net/tr/poland-china-c114654","3 yıl önce önce  tarafından eklendi","67","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256512664","1","","","1","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-07-02 10:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/dominican-republic-poland-c114659","3 yıl önce önce  tarafından eklendi","63","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256513691","1","","","2","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  3rd round - Group B","2022-07-03 20:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Armeec Arena, Sofia","https://women.volleybox.net/tr/armeec-arena-a42/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/bulgaria-t730/matches","https://volleybox.net/media/img/light-px.png","Bulgaristan","https://women.volleybox.net/tr/poland-bulgaria-c114664","3 yıl önce önce  tarafından eklendi","68","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256514049","2","","","","WoohyongChoi","https://women.volleybox.net/tr/user/WoohyongChoi"
",  Group B","2022-09-23 19:00","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","GelreDome, Arnhem","https://women.volleybox.net/tr/gelredome-a2236/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/croatia-t784/matches","https://volleybox.net/media/img/light-px.png","Hırvatistan","https://women.volleybox.net/tr/poland-croatia-c111059","3 yıl önce önce  tarafından eklendi","135","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540276","1","Adrian HS","https://women.volleybox.net/tr/user/AdrianHS","5","",""
",  Group B","2022-09-27 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","Tayland","https://women.volleybox.net/tr/poland-thailand-c113238","3 yıl önce önce  tarafından eklendi","139","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256540941","2","I…Y","","3","",""
",  Group B","2022-09-28 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","Güney Kore","https://women.volleybox.net/tr/poland-south-korea-c113279","3 yıl önce önce  tarafından eklendi","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541279","2","I…Y","","2","",""
",  Group B","2022-09-29 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","1 : 3","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/poland-dominican-republic-c113243","3 yıl önce önce  tarafından eklendi","140","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256541711","1","I…Y","","4","",""
",  Group B","2022-10-01 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Ergo Arena, Gdańsk","https://women.volleybox.net/tr/ergo-arena-a314/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","Türkiye","https://women.volleybox.net/tr/poland-turkey-c113246","3 yıl önce önce  tarafından eklendi","138","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542343","3","I…Y","","5","",""
",  Group F","2022-10-04 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c132303","2 yıl önce önce  tarafından eklendi","100","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256542797","1","dfondatto","https://women.volleybox.net/tr/user/dfondatto","3","",""
",  Group F","2022-10-05 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Łódź Sport Arena, Łódź","https://women.volleybox.net/tr/lodz-sport-arena-a1280/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/usa-poland-c132541","2 yıl önce önce  tarafından eklendi","95","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543111","1","dfondatto","https://women.volleybox.net/tr/user/dfondatto","3","",""
",  Group F","2022-10-07 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Atlas Arena, Łódź","https://women.volleybox.net/tr/atlas-arena-a327/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","Kanada","https://women.volleybox.net/tr/poland-canada-c132631","2 yıl önce önce  tarafından eklendi","103","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543675","1","panbajt","https://women.volleybox.net/tr/user/panbajt","1","",""
",  Group F","2022-10-08 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Łódź Sport Arena, Łódź","https://women.volleybox.net/tr/lodz-sport-arena-a1280/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/poland-germany-c132544","2 yıl önce önce  tarafından eklendi","109","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256543792","1","dfondatto","https://women.volleybox.net/tr/user/dfondatto","2","",""
",  quarterfinal","2022-10-11 21:30","Dünya Şampiyonası 2022","https://women.volleybox.net/tr/women-world-championships-2022-o21410/matches","Arena Gliwice, Gliwice","https://women.volleybox.net/tr/arena-gliwice-a1196/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","Polonya","https://women.volleybox.net/tr/serbia-poland-c133048","2 yıl önce önce  tarafından eklendi","109","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256544192","1","","","5","Jean Franco Chou","https://women.volleybox.net/tr/user/JeanFrancoChou"
