"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href"
",  Group A","2019-07-08 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","0 : 3","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/upload/teams/nt_flag_Canada.png","Kanada","https://women.volleybox.net/tr/cuba-canada-c16675"
",  Group A","2019-07-09","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","3 : 0","https://women.volleybox.net/tr/guatemala-t877/matches","https://volleybox.net/media/upload/teams/nt_flag_Guatemala.png","Guatemala","https://women.volleybox.net/tr/cuba-guatemala-c16677"
",  Group A","2019-07-10 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/upload/teams/nt_flag_Peru.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/peru-cuba-c16682"
",  Group A","2019-07-11 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","Arjantin","https://women.volleybox.net/tr/cuba-argentina-c16684"
",  7th place match - 1st match","2019-07-13 02:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Meksika","https://women.volleybox.net/tr/mexico-t1018/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/mexico-cuba-c16813"
",  7th place match","2019-07-14 04:00","Pan American Cup 2019","https://women.volleybox.net/tr/women-pan-american-cup-2019-o8956/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c17042"
",  Group A","2019-10-09 01:10","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c20985"
",  Group A","2019-10-10 03:15","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c20988"
",  Group A","2019-10-10 21:00","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Kosta Rika","https://women.volleybox.net/tr/costa-rica-t778/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/costa-rica-cuba-c20989"
",  quarterfinal","2019-10-12 01:10","NORCECA Şampiyonası 2019","https://women.volleybox.net/tr/women-norceca-championships-2019-o8957/matches","Roberto Clemente Coliseum, San Juan","https://women.volleybox.net/tr/roberto-clemente-coliseum-a353/matches","Dominik Cumhuriyeti","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/dominican-republic-cuba-c21337"
