"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_newbie","rank_newbie href"
",  Group B","2014-09-06 10:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","3 : 2","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/upload/teams/nt_flag_Thailand.png","Tayland","https://women.volleybox.net/tr/chinese-taipei-thailand-c32744","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2014-09-07 08:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Japonya","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/upload/teams/nt_flag_Japan.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/japan-chinese-taipei-c32745","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2014-09-08 08:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Kazakistan","https://women.volleybox.net/tr/kazakhstan-t934/matches","https://volleybox.net/media/upload/teams/nt_flag_Kazakhstan.png","3 : 2","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/upload/teams/nt_flag_Chinese_Taipei.png","Çin Taipei","https://women.volleybox.net/tr/kazakhstan-chinese-taipei-c32747","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  quarterfinal","2014-09-10 08:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/south-korea-chinese-taipei-c32749","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  5-8 places","2014-09-11 08:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Çin Taipei","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/iran-t910/matches","https://volleybox.net/media/img/light-px.png","İran","https://women.volleybox.net/tr/chinese-taipei-iran-c32753","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  5th place match","2014-09-12 10:00","AVC Cup 2014","https://women.volleybox.net/tr/women-avc-cup-2014-o4297/matches","Shenzhen Sports Center, Shenzhen","https://women.volleybox.net/tr/shenzhen-sports-center-a1844/matches","Tayland","https://women.volleybox.net/tr/thailand-t1213/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/thailand-chinese-taipei-c32758","5 yıl önce önce  tarafından eklendi","Boones","https://women.volleybox.net/tr/user/GamemerBoonprasop"
",  Group B","2014-09-25 08:00","Asya Oyunları 2014","https://women.volleybox.net/tr/women-asian-games-2014-o810/matches","Sangnoksu Gymnasium, Ansan","https://women.volleybox.net/tr/sangnoksu-gymnasium-a454/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/chinese-taipei-t2546/matches","https://volleybox.net/media/img/light-px.png","Çin Taipei","https://women.volleybox.net/tr/china-chinese-taipei-c124137","2 yıl önce önce  tarafından eklendi","",""
