Date,Team1,Team2,Score,MatchResult,Score1,Score2,Team1_last5_win_rate,Team1_last5_avg_score,Team1_last5_avg_concede,MatchResult2,Team2_last5_win_rate,Team2_last5_avg_score,Team2_last5_avg_concede,h2h_team1_win_rate
2014-08-23 11:00:00,Rusya,Brezilya,0:3,2,0,3,0.6,2.2,1.6,1,0.0,2.0,3.0,0.0
2014-08-24 08:20:00,Çin,Rusya,2:3,2,2,3,0.4,1.8,2.2,1,0.4,1.8,2.2,
2014-08-24 11:00:00,Belçika,Türkiye,1:3,2,1,3,1.0,3.0,0.0,1,0.3333333333333333,1.3333333333333333,2.3333333333333335,
2014-09-06 10:00:00,Çin Taipei,Tayland,3:2,1,3,2,,,,0,0.0,0.5,3.0,
2014-09-06 12:00:00,Çin,Vietnam,3:0,1,3,0,0.2,1.6,2.6,0,,,,
2014-09-07 08:00:00,Japonya,Çin Taipei,3:0,1,3,0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0,,,,
2014-09-07 10:00:00,Çin,İran,3:0,1,3,0,0.4,1.8,2.0,0,,,,
2014-09-08 08:00:00,Kazakistan,Çin Taipei,3:2,1,3,2,,,,0,0.0,0.0,3.0,
2014-09-08 15:30:00,Çin,Güney Kore,3:0,1,3,0,0.6,2.2,1.4,0,0.5,2.0,2.0,1.0
2014-09-10 08:00:00,Güney Kore,Çin Taipei,3:0,1,3,0,,,,0,0.0,1.0,3.0,
2014-09-10 15:30:00,Çin,Tayland,3:0,1,3,0,0.6,2.2,1.2,0,0.0,1.0,3.0,1.0
2014-09-11 08:00:00,Çin Taipei,İran,3:1,1,3,1,1.0,3.0,2.0,0,0.0,0.0,3.0,
2014-09-11 15:30:00,Çin,Japonya,3:0,1,3,0,0.8,2.8,0.6,0,0.5,1.75,1.75,0.3333333333333333
2014-09-12 10:00:00,Tayland,Çin Taipei,3:0,1,3,0,,,,0,0.0,0.6666666666666666,3.0,0.0
2014-09-12 15:30:00,Çin,Güney Kore,3:0,1,3,0,1.0,3.0,0.0,0,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0
2014-09-23 06:30:00,Arjantin,Hırvatistan,1:3,2,1,3,0.6,2.2,1.6,1,,,,
2014-09-23 06:30:00,Çin,Porto Riko,3:0,1,3,0,1.0,3.0,0.0,0,1.0,3.0,0.75,
